,Egg_ID,ID,toeClip,TissueBox,sex,clutch,egg_encl_ID,mating_encl_ID,current_encl,species,trt,yolk,temp,mortality,liz_status,season,date_egg_laid_.day.m.year..,egg_date,hatch_date,Hatch_data_.day.m.year.,egg_mass,egg_length_mm,egg_width_mm,post_extract_mass,egg_mass_final,X.reduction,hatch_mass,hatch_svl,hatch_tl,hatch_total,death_date,notes,dev_time,days_alive,yr_post_hatch_mortality
593,EG400_20,LG400_20,"""(23)000""",Box 1.28,m,CL117_20,E053_M,,E054_F120,guichenoti,C-23,C,23,0,ALIVE,2020/21,23/11/2020,23/11/2020,15/1/2021,,0.176,9.26,5.91,NA,0.176,NA,0.152,19.108,25.309,44.417,NA,,53,NA,NA
594,EG402_20,LG402_20,"""0050""",Box 1.26,m,CL118_20,E002_M,,E031_F120,guichenoti,C-23,C,23,0,ALIVE,2020/21,24/11/2020,24/11/2020,11/1/2021,,0.25,10.1,6.79,NA,0.25,NA,0.167,19.618,24.002,43.62,NA,,48,NA,NA
595,EG405_20,LG405_20,"""1020""",Box 1.28,f,CL119_20,E004_M,,E054_F120,guichenoti,C-23,C,23,0,ALIVE,2020/21,24/11/2020,24/11/2020,11/1/2021,,0.227,8.95,6.82,NA,0.227,NA,0.16,19.717,24.305,44.022,NA,,48,NA,NA
596,EG411_20,LG411_20,"""2300""",Box 1.24,,CL122_20,E056_M,,E017_F120,guichenoti,C-28,C,28,0,ALIVE,2020/21,26/11/2020,26/11/2020,25/12/2020,,0.215,8.58,6.62,NA,0.215,NA,0.155,21.263,29.767,51.03,NA,,29,NA,NA
597,EG412_20,LG412_20,"""5000""",Box 1.28,f,CL122_20,E056_M,,E056_F120,guichenoti,C-23,C,23,0,ALIVE,2020/21,26/11/2020,26/11/2020,10/1/2021,,0.239,9.54,6.69,NA,0.239,NA,0.179,20.319,27.481,47.8,NA,,45,NA,NA
598,EG413_20,LG413_20,"""2002""",Box 1.25,,CL122_20,E056_M,,E023_F120,guichenoti,C-23,C,23,0,ALIVE,2020/21,26/11/2020,26/11/2020,9/1/2021,,0.208,8.94,6.35,NA,0.208,NA,0.152,18.56,26.68,45.24,NA,,44,NA,NA
599,EG415_20,LG415_20,"""0020""",Box 1.28,f,CL122_20,E056_M,,E068,guichenoti,C-23,C,23,0,ALIVE,2020/21,26/11/2020,26/11/2020,13/1/2021,,0.188,9.49,5.86,NA,0.188,NA,0.172,21.023,28.967,49.99,NA,,48,NA,NA
600,EG416_20,LD416_20,"""3030""",Box 1.25,f,CL123_20,E067_M,,E027_F120,delicata,C-23,C,23,0,ALIVE,2020/21,26/11/2020,26/11/2020,9/1/2021,,0.155,8.92,5.48,NA,0.155,NA,0.113,18.152,21.22,39.372,NA,,44,NA,NA
601,EG419_20,LD419_20,"""3204""",Box 1.23,f,CL124_20,E046_M,,E010_F120,delicata,C-28,C,28,0,ALIVE,2020/21,26/11/2020,26/11/2020,27/12/2020,,0.103,7.89,4.65,NA,0.103,NA,0.083,17.706,21.061,38.767,NA,,31,NA,NA
602,EG422_20,LD422_20,"""0230""",Box 1.27,m,CL125_20,E016_M,,,delicata,C-28,C,28,0,ALIVE,2020/21,27/11/2020,27/11/2020,10/1/2021,,0.137,8.09,5.57,NA,0.137,NA,0.096,17.443,21.029,38.472,NA,,44,NA,NA
